PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence)
62804,3178,"that for the most part , the film is deadly dull",0,"that for the most part , the film is deadly dull",3,3,2.625
62808,3178,is deadly dull,0,is deadly dull,2,2,2.625
62801,3178,"The problem is that for the most part , the film is deadly dull .",0,"The problem is that for the most part , the film is deadly dull .",3,3,2.625
62802,3178,"is that for the most part , the film is deadly dull .",0,"is that for the most part , the film is deadly dull .",3,3,2.625
62803,3178,"is that for the most part , the film is deadly dull",0,"is that for the most part , the film is deadly dull",3,3,2.625
62805,3178,"for the most part , the film is deadly dull",0,"for the most part , the film is deadly dull",3,3,2.625
62806,3178,", the film is deadly dull",0,", the film is deadly dull",2,2,2.625
62807,3178,the film is deadly dull,0,the film is deadly dull,2,2,2.625
92302,4804,horribly,0,horribly,2,2,2.4444444444444446
92301,4804,horribly depressing,0,horribly depressing,2,2,2.4444444444444446
92299,4804,horribly depressing and not,0,horribly depressing and not,2,2,2.4444444444444446
92296,4804,'s horribly depressing and not very well done .,1,'s horribly depressing and not very well done .,4,3,2.4444444444444446
92298,4804,horribly depressing and not very well done,1,horribly depressing and not very well done,4,3,2.4444444444444446
92300,4804,horribly depressing and,0,horribly depressing and,2,2,2.4444444444444446
92297,4804,'s horribly depressing and not very well done,1,'s horribly depressing and not very well done,4,3,2.4444444444444446
92303,4804,very well done,4,very well done,2,2,2.4444444444444446
92295,4804,It 's horribly depressing and not very well done .,0,It 's horribly depressing and not very well done .,3,3,2.4444444444444446
75265,3861,"warm ,",3,"warm ,",2,1,2.3
75264,3861,"warm , inviting",3,"warm , inviting",2,1,2.3
75263,3861,"warm , inviting ,",3,"warm , inviting ,",2,1,2.3
75262,3861,"warm , inviting , and",4,"warm , inviting , and",2,2,2.3
75261,3861,"warm , inviting , and surprising",4,"warm , inviting , and surprising",2,2,2.3
75260,3861,"is warm , inviting , and surprising",3,"is warm , inviting , and surprising",2,1,2.3
75259,3861,"that is warm , inviting , and surprising",4,"that is warm , inviting , and surprising",0,4,2.3
